"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1949-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","27829","","","","0"
"1949-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","29177","","","","0"
"1949-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","18561","","","","0"
"1949-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28239","","","","0"
"1949-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30722","","","","0"
"1949-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","19700","","","","0"
"1949-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","22221","","","","0"
"1950-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","26998","","","","0"
"1950-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30000","","","","0"
"1950-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","35324","","","","0"
"1950-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","37084","","","","0"
"1950-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","40645","","","","0"
"1950-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","45895","","","","0"
"1950-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","43914","","","","0"
"1950-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32900","","","","0"
"1950-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","39044","","","","0"
"1950-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","35811","","","","0"
"1950-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32752","","","","0"
"1950-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","29328","","","","0"
"1951-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33724","","","","0"
"1951-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","43576","","","","0"
"1951-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","49612","","","","0"
"1951-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","46180","","","","0"
"1951-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","36445","","","","0"
"1951-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32680","","","","0"
"1951-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","29260","","","","0"
"1951-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","21631","","","","0"
"1951-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","27996","","","","0"
"1951-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","22801","","","","0"
"1951-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","21936","","","","0"
"1951-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","19807","","","","0"
"1952-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","20311","","","","0"
"1952-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","25131","","","","0"
"1952-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32764","","","","0"
"1952-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","41046","","","","0"
"1952-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","50143","","","","0"
"1952-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","43171","","","","0"
"1952-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","38133","","","","0"
"1952-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","26829","","","","0"
"1952-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31936","","","","0"
"1952-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33889","","","","0"
"1952-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32176","","","","0"
"1952-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","25248","","","","0"
"1953-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30203","","","","0"
"1953-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","38528","","","","0"
"1953-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","49999","","","","0"
"1953-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","56261","","","","0"
"1953-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","52978","","","","0"
"1953-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","46691","","","","0"
"1953-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","42801","","","","0"
"1953-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","29040","","","","0"
"1953-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30029","","","","0"
"1953-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32781","","","","0"
"1953-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28140","","","","0"
"1953-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","25075","","","","0"
"1954-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","23150","","","","0"
"1954-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30082","","","","0"
"1954-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","44944","","","","0"
"1954-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","47279","","","","0"
"1954-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","44108","","","","0"
"1954-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","38736","","","","0"
"1954-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33726","","","","0"
"1954-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","27480","","","","0"
"1954-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28355","","","","0"
"1954-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","20812","","","","0"
"1954-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","20614","","","","0"
"1954-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","23342","","","","0"
"1955-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","21386","","","","0"
"1955-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","26296","","","","0"
"1955-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","35624","","","","0"
"1955-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","53911","","","","0"
"1955-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","61049","","","","0"
"1955-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","54913","","","","0"
"1955-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","47434","","","","0"
"1955-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","42045","","","","0"
"1955-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31844","","","","0"
"1955-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33418","","","","0"
"1955-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28962","","","","0"
"1955-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28796","","","","0"
"1956-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","21317","","","","0"
"1956-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28533","","","","0"
"1956-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","43339","","","","0"
"1956-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","58454","","","","0"
"1956-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","65438","","","","0"
"1956-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","58587","","","","0"
"1956-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","51564","","","","0"
"1956-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","42468","","","","0"
"1956-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33578","","","","0"
"1956-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33963","","","","0"
"1956-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31398","","","","0"
"1956-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31282","","","","0"
"1957-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32745","","","","0"
"1957-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32342","","","","0"
"1957-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","45749","","","","0"
"1957-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","55357","","","","0"
"1957-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","54527","","","","0"
"1957-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","45864","","","","0"
"1957-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","42498","","","","0"
"1957-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","37902","","","","0"
"1957-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32131","","","","0"
"1957-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","25773","","","","0"
"1957-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","26307","","","","0"
"1957-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","27104","","","","0"
"1958-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30966","","","","0"
"1958-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31636","","","","0"
"1958-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","40596","","","","0"
"1958-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","50828","","","","0"
"1958-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","46879","","","","0"
"1958-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","44840","","","","0"
"1958-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","40980","","","","0"
"1958-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","30638","","","","0"
"1958-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","26761","","","","0"
"1958-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","33728","","","","0"
"1958-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31849","","","","0"
"1958-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","35068","","","","0"
"1959-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32397","","","","0"
"1959-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","37129","","","","0"
"1959-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","48448","","","","0"
"1959-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","59360","","","","0"
"1959-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","55646","","","","0"
"1959-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","57063","","","","0"
"1959-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","42734","","","","0"
"1959-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","38099","","","","0"
"1959-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","31218","","","","0"
"1959-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","37072","","","","0"
"1959-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","35300","","","","0"
"1959-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","28160","","","","0"
"1960-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42169911","1.1.1.1.1","32271","","","","0"
